17159 [main] INFO  com.routePerfect.tests.TestBase - Start test loginTest
17173 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
18919 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
18945 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='login login__underline']
19258 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [class='login login__underline']] Using method By.cssSelector: [class='login login__underline']
19493 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19520 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19521 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class=link-primary]
19540 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [class=link-primary]] Using method By.cssSelector: [class=link-primary]
19663 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19693 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19693 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19717 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
19874 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19888 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
19918 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your email']
19934 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your email']] Using method By.cssSelector: input[placeholder='Your email']
20298 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20317 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20317 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20339 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20417 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20433 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20461 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: input[placeholder='Your password']
20475 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: input[placeholder='Your password']] Using method By.cssSelector: input[placeholder='Your password']
20586 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20609 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20610 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Button Button--submit Button--main']
20627 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [class='Button Button--submit Button--main']] Using method By.cssSelector: [class='Button Button--submit Button--main']
20723 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='site-menu__user__menu__name'][contains(.,'Hi test')]
21530 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='site-menu__user__menu__name'][contains(.,'Hi test')]
21537 [main] INFO  com.routePerfect.tests.TestBase - Stop testloginTest
21545 [main] INFO  com.routePerfect.tests.TestBase - Start test buildRouteTest
21569 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: #startIn
